model,accuracy,precision,recall,f1_score
Logistic Regression,0.8102429415627052,0.8264758497316637,0.7064220183486238,0.761747732893652
Random Forest,0.7925147734734077,0.7717041800643086,0.7339449541284404,0.7523510971786834
Naive Bayes,0.8076165462902167,0.8412098298676749,0.6804281345565749,0.7523245984784447
SVM,0.793827971109652,0.7931034482758621,0.7033639143730887,0.7455429497568882
